"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",103.0442,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",102.9972,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",102.957,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",102.9323,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",102.9214,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",102.8848,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",102.7564,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",102.4798,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",102.1367,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",101.8323,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",101.6478,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",101.553,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",101.5128,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.5038,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.4764,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",101.3637,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",101.1089,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",100.7776,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",100.4486,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",100.1787,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",99.96801,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",99.82028,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",99.74545,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",99.69858,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",99.62872,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",99.49963,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",99.33359,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",99.15793,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",98.98857,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",98.82315,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-12",98.65392,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-01",98.47668,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-02",98.30363,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-03",98.15797,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-04",98.06451,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-05",98.01274,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-06",97.99821,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-07",98.02207,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-08",98.05347,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-09",98.05784,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-10",98.01769,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-11",97.98036,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-12",98.01995,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-01",98.1964,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-02",98.43769,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-03",98.65025,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-04",98.76447,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-05",98.80897,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-06",98.82247,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-07",98.83542,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-08",98.88245,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-09",99.01566,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-10",99.28349,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-11",99.62375,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-12",99.96072,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-01",100.23,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-02",100.4068,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-03",100.4448,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-04",100.3083,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-05",100.1429,
