"Series, GDP(P), Chain volume, Actual, Total (Qrtly-Mar/Jun/Sep/Dec)",""
"","Gross Domestic Product - production measure"
"1987Q2",27708
"1987Q3",27850
"1987Q4",29215
"1988Q1",28176
"1988Q2",27739
"1988Q3",27768
"1988Q4",28813
"1989Q1",28221
"1989Q2",28049
"1989Q3",27683
"1989Q4",29013
"1990Q1",27969
"1990Q2",27611
"1990Q3",27783
"1990Q4",29621
"1991Q1",27870
"1991Q2",27291
"1991Q3",27302
"1991Q4",29034
"1992Q1",28028
"1992Q2",27612
"1992Q3",27344
"1992Q4",29305
"1993Q1",28633
"1993Q2",28815
"1993Q3",29337
"1993Q4",31382
"1994Q1",30580
"1994Q2",30325
"1994Q3",30784
"1994Q4",33091
"1995Q1",32082
"1995Q2",32027
"1995Q3",32271
"1995Q4",34526
"1996Q1",33438
"1996Q2",33264
"1996Q3",33474
"1996Q4",36070
"1997Q1",34248
"1997Q2",34419
"1997Q3",34389
"1997Q4",36514
"1998Q1",34516
"1998Q2",34175
"1998Q3",34380
"1998Q4",36938
"1999Q1",35482
"1999Q2",35231
"1999Q3",36452
"1999Q4",39239
"2000Q1",37749
"2000Q2",37170
"2000Q3",37662
"2000Q4",40058
"2001Q1",38096
"2001Q2",38033
"2001Q3",38735
"2001Q4",41665
"2002Q1",39833
"2002Q2",39785
"2002Q3",40673
"2002Q4",43610
"2003Q1",41581
"2003Q2",41238
"2003Q3",42555
"2003Q4",45507
"2004Q1",43877
"2004Q2",43764
"2004Q3",44322
"2004Q4",46895
"2005Q1",45022
"2005Q2",45287
"2005Q3",45939
"2005Q4",48210
"2006Q1",46509
"2006Q2",46248
"2006Q3",47093
"2006Q4",49850
"2007Q1",47818
"2007Q2",47747
"2007Q3",48784
"2007Q4",51520
"2008Q1",48732
"2008Q2",48090
"2008Q3",48416
"2008Q4",50763
"2009Q1",47532
"2009Q2",47169
"2009Q3",47802
"2009Q4",50917
"2010Q1",48363
"2010Q2",48425
"2010Q3",48768
"2010Q4",51097
"2011Q1",48981
"2011Q2",48914
"2011Q3",49743
"2011Q4",52747
"2012Q1",50490
"2012Q2",50152
"2012Q3",50616
"2012Q4",54247
"2013Q1",51420
"2013Q2",51341
"2013Q3",52119
"2013Q4",55206
"2014Q1",53074
"2014Q2",52757
"2014Q3",53912
"2014Q4",57848
"2015Q1",55018
"2015Q2",54773
"2015Q3",55843
"2015Q4",59678
"2016Q1",57192
"2016Q2",57193
"2016Q3",58160
"2016Q4",61731
"2017Q1",58921
"2017Q2",58784
"2017Q3",59681
"2017Q4",63519
"2018Q1",60473
"Table information:"
"Units:"
"$, Magnitude = Millions"
""
"Footnotes:"
"Chain-volume series expressed in 2009/10 prices."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"SNE052AA"
""
"Last updated:"
"21 June 2018 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
