publication_year,story_sequence,title,story_year,notes,story_type,detailed_story_type,book_type,main_location
1968,1,The Boy Biggles,1910,,Adventure,Biographical,stories,India
1951,2,Biggles Goes to School,1913,,Adventure,Biographical,novel,UK
1935,3,Biggles Learns to Fly,1916,,War flying,WWI,stories,France
1935,4,Biggles in France,1917,,War flying,WWI,stories,France
1956,5,Biggles of 266,1917,,War flying,WWI,stories,France
1934,6,Biggles of the Camel Squadron,1917-1918,Finishes with armistice,War flying,WWI,stories,France
1935,7,Biggles Flies East,1917,,War flying,WWI,novel,Syria
1939,8,The Rescue Flight,1917,,War flying,WWI,novel,France
1932,9,The Camels are Coming,1917-1918,,War flying,WWI,stories,France
1999,10,Biggles - Air Ace,1918,,War flying,WWI,stories,France
1954,11,Biggles Pioneer Air Fighter,1918,,War flying,WWI,stories,France
1933,12,The Cruise of the Condor,1920,First Dickpa story,Adventure,Treasure-hunt,novel,Brazil
1934,13,Biggles Flies Again,1930,,Adventure,Misc,stories,Various
1935,14,The Black Peril,1935,First Ginger story. German planes have swastikas,Secret agent,Inter-war,novel,Russia
1935,15,Biggles Hits the Trail,1935,Includes Ginger so must be after Black Peril,Adventure,Treasure-hunt,novel,Tibet
1936,16,Biggles & Co.,1936,,Adventure,Misc,stories,Various
1936,17,Biggles in Africa,1936,,Adventure,Rescue,novel,Central Africa
1937,18,Biggles - Air Commodore,1937,"Not officially with the police but with the RAF, but a precursor of the post-war detective approach",Detective,,novel,"Elephant Island, Indian Ocean"
1937,19,Biggles Flies West,1937,,Adventure,Treasure-hunt,novel,Caribbean
1938,20,Biggles Flies South,1937,,Adventure,Treasure-hunt,novel,Sahara Desert
1938,21,Biggles Goes to War,1937,,War flying,other,novel,"Maltovia, Central Europe"
1940,22,Biggles in the South Seas,1938,,Adventure,Treasure-hunt,novel,French Polynesia
1942,23,Biggles in the Jungle,1938,,Adventure,Misc,stories,Belize
1939,24,Biggles in Spain,1938,,Adventure,Misc,stories,Spain
1938,25,Biggles Flies North,1938,,Adventure,Misc,stories,Canada
1940,26,Biggles Secret Agent,1939,Clearly just before the war,Secret agent,Inter-war,novel,"Lucrania, Central Europe"
1940,27,Biggles in the Baltic,1939,Features declaration of war,War flying,WWII,novel,Baltic Sea
1941,28,Biggles Sees It through,1940,"Finnish-USSR war including peace, so must end with May 1940",Secret agent,WWII,novel,Russia
1941,29,Biggles Defies the Swastika,1940,Features April 1940 invasion of Norway so actually overlaps with Biggles Sees it through,War flying,WWII,novel,Norway
1941,30,Spitfire Parade,1940,Bad re-writes of WWI stories,War flying,WWII,stories,England
1942,31,Biggles Sweeps the Desert,1941,,War flying,WWII,novel,West Africa
1943,32,Biggles 'Fails to Return',1942,,Secret agent,WWII,novel,Monaco
1943,33,Biggles in Borneo,1943,Features an Australian aircraft carrier! (there wasn't one),War flying,WWII,novel,Borneo
1945,34,Biggles in the Orient,1943,,War flying,WWII,novel,Calcutta
1946,35,Biggles Delivers the Goods,1943,,War flying,WWII,novel,"Elephant Island, Indian Ocean"
1943,36,Biggles Charter Pilot,1936,"Set in both c. 1941 and mid 1930s (story within story), but the main stories are those in the 1930s",Adventure,Misc,stories,Various
1947,37,Comrades in Arms,1941,After the Battle of Britain but still with large forces of german aircraft in the west,War flying,WWII,novel,Germany
1947,38,Sergeant Bigglesworth C.I.D.,1946,Features transition from RAF to police,Detective,,novel,Sahara Desert
1948,39,Biggles' Second Case,1946,Features a U-boat in hiding after the war,Detective,,novel,Kerguelen Island
1948,40,Biggles Hunts Big Game,1948,,Detective,,novel,Central Africa
